cityId,cityName
7,שחר
21,באר אורה
26,ראש פינה
29,יסוד המעלה
41,אליכין
43,מטולה
46,יבנאל
53,עתלית
65,מגדל
67,אור הנר
77,איילת השחר
106,כפר גנים
122,בית שמש
139,רהט
154,טבריה
158,נתניה
182,אבן יהודה
208,הוד השרון
276,עפולה
313,בית שאן
327,סח'נין
346,עראבה
370,עכו
400,נצרת
466,עמנואל
469,קריית עקרון
499,באר שבע
520,ראשון לציון
532,חולון
565,בת ים
587,גבעתיים
666,בני ברק
753,רמת גן
831,הרצליה
922,אשקלון
1015,לוד
1063,מעלות-תרשיחא
1243,נהריה
1247,נס ציונה
1268,רחובות
1271,יהוד-מונוסון
1309,קריית אתא
1310,קריית ביאליק
1319,קריית מוצקין
1330,קריית ים
2300,קריית טבעון
2800,קריית שמונה 